,emg
0,-54551
1,-53044
2,-50441
3,-46971
4,-43932
5,-43266
6,-45014
7,-48722
8,-51745
9,-54449
10,-54752
11,-53297
12,-50893
13,-47498
14,-44872
15,-44227
16,-45440
17,-48083
18,-51728
19,-54291
20,-54685
21,-53316
22,-50570
23,-47009
24,-44755
25,-44434
26,-45936
27,-48763
28,-52235
29,-54160
30,-54901
31,-53996
32,-50932
33,-47611
34,-45532
35,-45093
36,-46069
37,-48816
38,-52566
39,-54642
40,-54837
41,-53925
42,-51006
43,-47389
44,-45001
45,-44700
46,-46153
47,-48744
48,-51734
49,-54593
50,-55262
51,-53563
52,-51422
53,-48431
54,-45611
55,-44867
56,-46177
57,-49241
58,-52669
59,-54982
60,-55526
61,-54576
62,-52114
63,-48707
64,-46133
65,-45665
66,-47029
67,-49867
68,-53218
69,-55646
70,-56053
71,-54779
72,-52205
73,-48817
74,-46282
75,-45631
76,-46655
77,-49167
78,-52689
79,-55297
80,-55876
81,-54952
82,-52209
83,-48484
84,-46007
85,-45736
86,-47211
87,-49639
88,-52641
89,-54939
90,-55479
91,-54327
92,-51477
93,-48012
94,-45566
95,-45094
96,-46576
97,-49177
98,-52339
99,-54546
100,-55252
101,-53927
102,-51254
103,-47862
104,-45257
105,-44691
106,-45907
107,-48741
108,-51971
109,-54287
110,-54788
111,-53499
112,-50777
113,-47416
114,-44999
115,-44349
116,-45471
117,-48220
118,-51754
119,-54101
120,-54309
121,-52827
122,-50397
123,-47379
124,-44837
125,-44164
126,-45372
127,-47907
128,-51376
129,-53763
130,-54334
131,-53461
132,-50842
133,-47467
134,-44898
135,-43914
136,-44765
137,-47235
138,-50497
139,-53236
140,-54488
141,-54174
142,-51127
143,-47008
144,-45469
145,-45754
146,-45997
147,-47435
148,-50618
149,-53316
150,-55934
151,-55752
152,-52374
153,-49192
154,-47667
155,-49832
156,-51909
157,-54518
158,-55302
159,-52741
160,-53056
161,-56852
162,-52789
163,-43317
164,-44318
165,-46754
166,-48346
167,-49177
168,-47317
169,-46184
170,-48569
171,-49577
172,-46973
173,-46450
174,-49626
175,-50838
176,-48348
177,-52408
178,-60027
179,-61949
180,-58543
181,-54890
182,-52666
183,-46104
184,-41702
185,-43466
186,-48742
187,-54152
188,-56493
189,-56586
190,-56950
191,-55727
192,-52969
193,-50282
194,-48882
195,-47710
196,-46926
197,-50240
198,-52464
199,-52427
200,-53676
201,-54212
202,-53171
203,-51547
204,-49817
205,-49756
206,-50889
207,-52741
208,-56616
209,-59952
210,-59578
211,-58612
212,-56326
213,-52546
214,-50191
215,-50911
216,-52165
217,-53120
218,-55814
219,-61237
220,-71400
221,-71354
222,-58364
223,-54947
224,-52746
225,-47222
226,-47981
227,-52841
228,-56506
229,-27467
230,-1792
231,-18847
232,-56020
233,-52954
234,-50135
235,-47425
236,-46867
237,-50624
238,-54215
239,-22596
240,-1333
241,-19284
242,-55708
243,-51729
244,-49432
245,-48954
246,-49074
247,-49009
248,-51608
249,-25618
250,-1682
251,-18854
252,-53681
253,-50736
254,-47589
255,-47362
256,-49759
257,-51692
258,-56799
259,-33778
260,-2619
261,-22631
262,-57436
263,-50043
264,-45974
265,-45795
266,-46426
267,-48462
268,-53476
269,-39044
270,-4484
271,-20588
272,-57041
273,-53027
274,-50343
275,-49712
276,-51046
277,-54193
278,-58052
279,-38947
280,-3984
281,-21882
282,-58523
283,-54421
284,-51771
285,-50534
286,-51732
287,-55519
288,-59682
289,-45780
290,-6104
291,-21870
292,-56192
293,-52116
294,-51836
295,-53926
296,-54227
297,-55049
298,-58702
299,-52709
300,-10955
301,-26217
302,-59014
303,-53067
304,-51903
305,-51962
306,-51354
307,-52937
308,-56371
309,-54429
310,-15619
311,-31854
312,-62103
313,-55134
314,-53343
315,-52402
316,-53092
317,-54917
318,-56542
319,-54976
320,-19957
321,-34311
322,-58113
323,-51419
324,-49838
325,-50055
326,-51566
327,-53984
328,-57661
329,-63270
330,-44872
331,-56269
332,-61421
333,-52938
334,-49479
335,-48693
336,-49547
337,-51522
338,-55689
339,-61481
340,-71394
341,-71075
342,-58246
343,-53154
344,-50484
345,-49707
346,-50759
347,-53301
348,-57549
349,-58382
350,-59309
351,-60564
352,-59676
353,-54699
354,-48886
355,-45437
356,-47653
357,-52574
358,-57302
359,-60092
360,-60284
361,-59136
362,-56339
363,-53479
364,-50642
365,-48502
366,-49723
367,-52749
368,-58296
369,-60126
370,-58384
371,-56737
372,-55155
373,-53079
374,-53032
375,-52554
376,-51146
377,-51744
378,-55046
379,-57788
380,-58982
381,-59430
382,-56528
383,-53598
384,-50365
385,-48944
386,-50496
387,-54151
388,-58360
389,-62658
390,-64586
391,-62067
392,-56771
393,-51311
394,-47167
395,-45426
396,-46323
397,-49822
398,-53615
399,-58227
400,-60068
401,-57824
402,-55354
403,-51805
404,-48875
405,-47426
406,-48964
407,-52505
408,-56300
409,-59045
410,-60652
411,-59602
412,-57063
413,-53502
414,-48144
415,-46636
416,-48922
417,-48962
418,-53491
419,-59165
420,-60492
421,-57549
422,-54742
423,-50635
424,-47699
425,-48949
426,-50328
427,-53461
428,-56472
429,-58879
430,-59767
431,-58921
432,-55457
433,-51016
434,-47571
435,-46305
436,-46876
437,-52017
438,-57328
439,-57508
440,-58879
441,-58217
442,-55376
443,-51869
444,-49126
445,-48481
446,-50239
447,-53031
448,-57102
449,-61319
450,-63678
451,-62499
452,-58621
453,-53529
454,-47978
455,-45907
456,-50466
457,-54630
458,-55457
459,-57270
460,-59376
461,-59489
462,-55967
463,-53164
464,-52096
465,-50664
466,-51016
467,-54238
468,-57713
469,-60084
470,-61001
471,-60329
472,-58265
473,-54888
474,-51321
475,-51687
476,-53014
477,-54920
478,-58735
479,-62087
480,-62884
481,-59889
482,-55443
483,-52433
484,-50498
485,-49745
486,-52267
487,-56879
488,-57809
489,-58287
490,-59222
491,-59089
492,-57160
493,-53904
494,-51329
495,-50726
496,-51729
497,-52574
498,-54946
499,-57240
500,-57998
501,-57486
502,-55677
503,-51596
504,-48139
505,-48814
506,-49467
507,-52179
508,-55489
509,-57907
510,-59024
511,-57324
512,-53698
513,-49832
514,-46944
515,-45776
516,-48741
517,-53201
518,-55078
519,-57606
520,-58144
521,-56819
522,-54104
523,-50517
524,-47801
525,-47119
526,-48033
527,-50653
528,-54185
529,-56782
530,-56994
531,-55808
532,-53071
533,-49404
534,-46479
535,-46364
536,-47770
537,-50152
538,-53564
539,-56305
540,-56936
541,-55550
542,-53076
543,-49451
544,-46731
545,-46476
546,-47672
547,-50419
548,-53780
549,-55735
550,-56323
551,-54826
552,-51763
553,-48405
554,-46527
555,-45766
556,-47024
557,-49903
558,-53599
559,-56051
560,-56597
561,-55404
562,-52811
563,-49374
564,-46839
565,-46252
566,-47323
567,-49915
568,-53288
569,-56073
570,-56649
571,-54921
572,-51892
573,-48540
574,-46049
575,-45269
576,-46316
577,-49140
578,-53033
579,-55723
580,-56079
581,-54706
582,-51875
583,-48566
584,-45897
585,-45206
586,-46245
587,-48504
588,-51948
589,-54669
590,-55496
591,-53832
592,-50979
593,-47824
594,-45052
595,-44616
596,-46338
597,-49208
598,-52882
599,-55304
600,-55713
601,-54084
602,-51475
603,-48304
604,-46034
605,-45334
606,-46471
607,-49467
608,-52750
609,-55032
610,-55806
611,-54461
612,-51669
613,-48551
614,-46534
615,-45927
616,-47229
617,-49961
618,-53068
619,-55425
620,-55983
621,-54947
622,-52171
623,-48853
624,-46791
625,-46569
626,-47481
627,-49724
628,-53266
629,-56589
630,-57096
631,-55592
632,-52436
633,-49219
634,-47324
635,-46796
636,-48516
637,-51022
638,-53988
639,-56670
640,-57555
641,-55848
642,-52712
643,-49148
644,-47538
645,-47477
646,-48103
647,-50762
648,-54187
649,-56601
650,-56966
651,-55602
652,-52751
653,-49301
654,-46804
655,-46302
656,-48083
657,-51508
658,-54734
659,-56504
660,-56931
661,-55796
662,-52937
663,-49574
664,-47324
665,-46526
666,-47565
667,-50121
668,-53851
669,-56717
670,-57272
671,-55810
672,-52658
673,-49089
674,-47322
675,-47184
676,-48241
677,-50824
678,-54486
679,-56986
680,-57373
681,-56025
682,-52991
683,-49577
684,-47562
685,-47177
686,-48452
687,-51228
688,-54269
689,-56731
690,-57884
691,-56990
692,-53837
693,-50699
694,-48181
695,-47527
696,-49036
697,-51715
698,-54989
699,-57347
700,-57708
701,-56355
702,-53625
703,-50275
704,-47884
705,-47203
706,-48494
707,-51281
708,-54710
709,-57386
710,-57986
711,-56274
712,-53269
713,-49864
714,-47717
715,-47133
716,-48332
717,-51030
718,-54082
719,-56099
720,-56647
721,-55487
722,-53062
723,-49851
724,-47172
725,-46230
726,-47383
727,-50605
728,-53841
729,-55853
730,-56165
731,-54871
732,-51992
733,-48512
734,-46230
735,-45848
736,-46879
737,-49834
738,-53130
739,-55160
740,-55822
741,-54474
742,-51740
743,-48449
744,-46074
745,-45714
746,-46762
747,-49314
748,-52567
749,-54729
750,-55174
751,-53636
752,-51134
753,-48645
754,-46107
755,-45417
756,-46612
757,-49366
758,-52644
759,-55007
760,-55414
761,-54076
762,-51441
763,-48236
764,-45687
765,-45096
766,-46442
767,-49037
768,-52359
769,-54679
770,-54896
771,-53413
772,-50761
773,-47193
774,-44981
775,-44704
776,-45921
777,-48733
778,-52469
779,-54627
780,-55010
781,-53281
782,-50764
783,-47271
784,-44803
785,-44308
786,-45390
787,-48092
788,-51378
789,-53656
790,-54144
791,-52776
792,-50025
793,-46804
794,-44505
795,-44001
796,-45256
797,-47944
798,-51260
799,-53687
800,-54282
801,-52995
802,-50317
803,-47042
804,-44676
805,-44229
806,-45376
807,-47601
808,-50579
809,-53202
810,-53784
811,-52557
812,-50332
813,-47132
814,-45246
815,-44277
816,-44559
817,-47342
818,-51278
819,-54307
820,-54979
821,-54194
822,-51202
823,-47833
824,-45291
825,-44630
826,-45955
827,-48812
828,-52171
829,-54554
830,-55096
831,-53831
832,-51203
833,-47944
834,-45666
835,-45213
836,-46443
837,-49160
838,-52436
839,-54789
840,-55321
841,-54025
842,-51127
843,-47779
844,-45618
845,-45521
846,-46877
847,-49187
848,-51834
849,-53807
850,-54987
851,-54606
852,-52242
853,-48217
854,-45175
855,-44897
856,-46453
857,-49511
858,-52494
859,-54544
860,-55235
861,-54292
862,-51481
863,-48211
864,-46044
865,-45774
866,-47200
867,-49771
868,-53045
869,-55350
870,-56090
871,-54881
872,-52254
873,-49026
874,-46542
